K,L,RelSample,RelTableSize,MemoryConsumption
189,5,0.005291005291005291,0.2,0.20793650793650795
172,6,0.005813953488372093,0.16666666666666666,0.17538759689922478
156,7,0.00641025641025641,0.14285714285714285,0.15247252747252746
142,7,0.007042253521126761,0.14285714285714285,0.15342052313883298
129,8,0.007751937984496124,0.125,0.13662790697674418
117,8,0.008547008547008548,0.125,0.13782051282051283
107,8,0.009345794392523364,0.125,0.13901869158878505
97,10,0.010309278350515464,0.1,0.1154639175257732
88,11,0.011363636363636364,0.09090909090909091,0.10795454545454546
80,13,0.0125,0.07692307692307693,0.09567307692307693
73,14,0.0136986301369863,0.07142857142857142,0.09197651663405088
66,16,0.015151515151515152,0.0625,0.08522727272727273
60,19,0.016666666666666666,0.05263157894736842,0.07763157894736841
55,21,0.01818181818181818,0.047619047619047616,0.07489177489177488
50,26,0.02,0.038461538461538464,0.06846153846153846
45,31,0.022222222222222223,0.03225806451612903,0.06559139784946236
41,41,0.024390243902439025,0.024390243902439025,0.06097560975609757
37,55,0.02702702702702703,0.01818181818181818,0.058722358722358724
34,60,0.029411764705882353,0.016666666666666666,0.06078431372549019
31,88,0.03225806451612903,0.011363636363636364,0.059750733137829914
28,97,0.03571428571428571,0.010309278350515464,0.06388070692194403
26,97,0.038461538461538464,0.010309278350515464,0.06800158604282316
23,97,0.043478260869565216,0.010309278350515464,0.0755266696548633
21,97,0.047619047619047616,0.010309278350515464,0.0817378497790869
19,97,0.05263157894736842,0.010309278350515464,0.0892566467715681
17,97,0.058823529411764705,0.010309278350515464,0.09854457246816252
16,97,0.0625,0.010309278350515464,0.10405927835051547
14,97,0.07142857142857142,0.010309278350515464,0.1174521354933726
13,97,0.07692307692307693,0.010309278350515464,0.12569389373513085
12,97,0.08333333333333333,0.010309278350515464,0.13530927835051546
11,97,0.09090909090909091,0.010309278350515464,0.1466729147141518
10,97,0.1,0.010309278350515464,0.16030927835051548
9,97,0.1111111111111111,0.010309278350515464,0.1769759450171821
8,97,0.125,0.010309278350515464,0.19780927835051546
7,97,0.14285714285714285,0.010309278350515464,0.22459499263622973
6,97,0.16666666666666666,0.010309278350515464,0.2603092783505155
5,97,0.2,0.010309278350515464,0.3103092783505155
4,97,0.25,0.010309278350515464,0.3853092783505155
3,97,0.3333333333333333,0.010309278350515464,0.5103092783505154
2,97,0.5,0.010309278350515464,0.7603092783505154
1,97,1.0,0.010309278350515464,1.5103092783505154
